TriggerMethod,EventNumber,EventTime,Order,EventType,Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Temperature (°C),RH (%RH),Pressure (mbar),Est. Altitude (m),GPSStatus,GPSFixTime,Lattitude,Longitude,Speed (km/h),Heading
0,1,01/18/2016 03:06:53 ,0,2,1,2.19E+01,2.28E+01,-1.61E-01,2,1.51E+01,8.00E+00,8.70E-02,3,1.29E+01,3.60E+00,2.94E-02,4,1.66E+01,3.12E+01,-3.63E-01,5,1.22E+01,9.20E+00,5.65E-02,6,5.05E+01,5.60E+00,1.72E-01,Resultant,2.67E+01,5.20E+00,1.20E-01,20.98828,50.36328,994.8,155,0,01/18/2016 03:15:21 ,41.5348053,0.416083336,91,75
0,3,01/25/2016 09:20:21 ,0,2,1,3.54E+00,2.80E+00,-7.80E-03,2,9.89E-01,0.00E+00,-3.96E-04,3,7.04E+00,3.60E+00,-1.77E-02,4,5.91E+00,3.20E+00,1.35E-02,5,6.85E+00,4.40E+00,-1.66E-02,6,5.26E+01,5.20E+00,1.76E-01,Resultant,7.09E+00,0.00E+00,2.83E-03,19.66797,55.35547,1011,19,,,,,,
1,1,01/17/2016 10:58:35 ,0,2,1,1.12E+00,0.00E+00,4.50E-04,2,3.61E-01,0.00E+00,-1.44E-04,3,3.63E-01,0.00E+00,1.45E-04,4,3.32E-01,0.00E+00,1.33E-04,5,4.44E-01,0.00E+00,1.78E-04,6,9.67E-01,0.00E+00,-3.87E-04,Resultant,1.15E+00,0.00E+00,4.58E-04,5.550781,54.49609,950.9,532,,,,,,
1,2,01/17/2016 11:00:35 ,0,2,1,3.88E-01,0.00E+00,-1.55E-04,2,3.70E-01,0.00E+00,1.48E-04,3,3.32E-01,0.00E+00,1.33E-04,4,3.04E-01,0.00E+00,-1.22E-04,5,3.12E-01,0.00E+00,1.25E-04,6,3.34E-01,0.00E+00,1.33E-04,Resultant,5.52E-01,0.00E+00,2.21E-04,5.550781,54.67188,950.8,533,,,,,,
1,3,01/17/2016 11:02:35 ,0,2,1,4.08E-01,0.00E+00,-1.63E-04,2,4.13E-01,0.00E+00,-1.65E-04,3,2.70E-01,0.00E+00,-1.08E-04,4,3.37E-01,0.00E+00,1.35E-04,5,3.39E-01,0.00E+00,1.36E-04,6,3.55E-01,0.00E+00,1.42E-04,Resultant,5.04E-01,0.00E+00,2.01E-04,5.589844,54.53125,950.8,533,0,01/17/2016 11:11:02 ,40.42277908,-3.692472219,0,0
1,4,01/17/2016 11:04:35 ,0,2,1,3.61E-01,0.00E+00,-1.44E-04,2,3.71E-01,0.00E+00,1.48E-04,3,3.89E-01,0.00E+00,1.56E-04,4,3.60E-01,0.00E+00,1.44E-04,5,3.92E-01,0.00E+00,-1.57E-04,6,3.13E-01,0.00E+00,1.25E-04,Resultant,5.02E-01,0.00E+00,2.01E-04,5.589844,55.08594,951,531,0,01/17/2016 11:13:02 ,40.42269516,-3.69227767,0,322
1,5,01/17/2016 11:06:35 ,0,2,1,4.43E-01,0.00E+00,-1.77E-04,2,4.36E-01,0.00E+00,-1.74E-04,3,2.71E-01,0.00E+00,-1.08E-04,4,3.94E-01,0.00E+00,1.58E-04,5,3.67E-01,0.00E+00,1.47E-04,6,4.53E-01,0.00E+00,1.81E-04,Resultant,5.19E-01,0.00E+00,2.08E-04,5.589844,54.08984,951.1,530,0,01/17/2016 11:15:02 ,40.42286301,-3.691999912,0,321
1,6,01/17/2016 11:08:35 ,0,2,1,4.16E-01,0.00E+00,-1.66E-04,2,3.25E-01,0.00E+00,-1.30E-04,3,3.11E-01,0.00E+00,-1.24E-04,4,3.29E-01,0.00E+00,1.32E-04,5,3.03E-01,0.00E+00,-1.21E-04,6,3.58E-01,0.00E+00,1.43E-04,Resultant,4.79E-01,0.00E+00,1.92E-04,5.628906,54.33203,950.9,532,0,01/17/2016 11:17:02 ,40.42286301,-3.691944361,0,337
1,7,01/17/2016 11:10:35 ,0,2,1,3.50E-01,0.00E+00,-1.40E-04,2,3.06E-01,0.00E+00,-1.22E-04,3,3.72E-01,0.00E+00,1.49E-04,4,4.10E-01,0.00E+00,1.64E-04,5,3.26E-01,0.00E+00,1.30E-04,6,3.56E-01,0.00E+00,-1.42E-04,Resultant,4.52E-01,0.00E+00,1.81E-04,5.671875,53.77734,950.9,532,0,01/17/2016 11:19:02 ,40.42286301,-3.691944361,0,337
1,8,01/17/2016 11:12:35 ,0,2,1,3.92E-01,0.00E+00,-1.57E-04,2,4.12E-01,0.00E+00,-1.65E-04,3,4.29E-01,0.00E+00,-1.71E-04,4,3.72E-01,0.00E+00,-1.49E-04,5,4.44E-01,0.00E+00,-1.78E-04,6,5.83E-01,0.00E+00,2.33E-04,Resultant,5.37E-01,0.00E+00,2.15E-04,5.710938,54.57813,950.9,532,0,01/17/2016 11:21:02 ,40.42283249,-3.691888809,0,12
